theta,theta_over_pi,arrow_strength,monotonicity,sz_k0,S_k0,sz_k1,S_k1,sz_k2,S_k2,sz_k3,S_k3,sz_k4,S_k4,sz_k5,S_k5,sz_k6,S_k6,sz_k7,S_k7,sz_k8,S_k8,sz_k9,S_k9,sz_k10,S_k10,sz_k11,S_k11,sz_k12,S_k12,sz_k13,S_k13,sz_k14,S_k14,sz_k15,S_k15,sz_k16,S_k16,sz_k17,S_k17,sz_k18,S_k18,sz_k19,S_k19,sz_k20,S_k20,sz_k21,S_k21,sz_k22,S_k22,sz_k23,S_k23,sz_k24,S_k24,sz_k25,S_k25,sz_k26,S_k26,sz_k27,S_k27,sz_k28,S_k28,sz_k29,S_k29
1.633628,0.520000,-0.35079825,0.55172414,0.01177466,0.67076755,-0.00339459,0.61659750,-0.06014193,0.54531959,-0.14402187,0.48795197,-0.23303640,0.46539404,-0.31019585,0.47316756,-0.36870738,0.49466873,-0.40928367,0.51730404,-0.43573825,0.53573447,-0.45221915,0.54900465,-0.46213481,0.55785962,-0.46796683,0.56339827,-0.47139746,0.56657517,-0.47349134,0.56807381,-0.47484266,0.56830657,0.14433851,0.39881243,0.42126601,0.45555458,0.46788112,0.47243432,0.49073893,0.47956103,0.50846149,0.48305294,0.52526462,0.48461736,0.54251030,0.48481976,0.56066887,0.48380397,0.57981664,0.48150993,0.59978193,0.47775606,0.62017694,0.47228056,0.64038212,0.46477642,0.65950726,0.45493998,0.67634392,0.44255213,0.68932641,0.42761273
1.696460,0.540000,-0.37587436,0.51724138,-0.04081555,0.67065574,-0.05558600,0.62171073,-0.10645159,0.55755678,-0.18050616,0.50599324,-0.25857234,0.48531438,-0.32600980,0.49141664,-0.37708040,0.50968653,-0.41254370,0.52900215,-0.43581331,0.54460232,-0.45055382,0.55561802,-0.45975354,0.56270673,-0.46556831,0.56684562,-0.46943661,0.56887849,-0.47223855,0.56939745,-0.47442118,0.56873942,-0.18407199,0.39998723,0.29501317,0.41876475,0.41051094,0.44535492,0.45998966,0.45840580,0.49164652,0.46533779,0.51728479,0.46897322,0.54087485,0.47042089,0.56397485,0.47009926,0.58717219,0.46809438,0.61054853,0.46430421,0.63383678,0.45850986,0.65645970,0.45042678,0.67751636,0.43976465,0.69574745,0.42631906,0.70950489,0.41011949
1.759292,0.560000,-0.39856461,0.48275862,-0.08858070,0.66848705,-0.10276336,0.62489922,-0.14784286,0.56823241,-0.21248937,0.52284505,-0.28027014,0.50435026,-0.33874863,0.50903938,-0.38311096,0.52428080,-0.41409156,0.54042250,-0.43468359,0.55329349,-0.44807585,0.56212389,-0.45685420,0.56749302,-0.46286688,0.57026271,-0.46732339,0.57117031,-0.47092983,0.57071939,-0.47399242,0.56917326,-0.34151197,0.43099293,0.15333484,0.39635629,0.33739540,0.42211620,0.41914631,0.43859360,0.46826951,0.44813487,0.50487836,0.45348878,0.53616819,0.45600283,0.56511270,0.45627014,0.59298333,0.45448387,0.62020975,0.45060445,0.64669910,0.44444784,0.67194718,0.43574848,0.69505981,0.42422845,0.71473664,0.40969922,0.72925293,0.39222312
1.822124,0.580000,-0.41989853,0.44827586,-0.13096875,0.66498795,-0.14436816,0.62677850,-0.18385664,0.57770692,-0.23966951,0.53861456,-0.29797030,0.52247236,-0.34834407,0.52597383,-0.38677512,0.53840246,-0.41391933,0.55153681,-0.43234430,0.56179546,-0.44477951,0.56851914,-0.45343003,0.57222005,-0.45985589,0.57365284,-0.46505252,0.57345393,-0.46956202,0.57204198,-0.47355542,0.56960893,-0.41342860,0.45787550,0.02128047,0.38783719,0.25559120,0.40393708,0.37034182,0.42076391,0.43904363,0.43177504,0.48828197,0.43834569,0.52845261,0.44166989,0.56408110,0.44237780,0.59722916,0.44071416,0.62874300,0.43667701,0.65874612,0.43010548,0.68683273,0.42074756,0.71213024,0.40833610,0.73330573,0.39269950,0.74856311,0.37393646
1.884956,0.600000,-0.44087181,0.44827586,-0.16758281,0.66086306,-0.18000956,0.62794182,-0.21418463,0.58632842,-0.26185649,0.55341285,-0.31158262,0.53966336,-0.35476421,0.54216804,-0.38806465,0.55200766,-0.41202364,0.56231865,-0.42879007,0.57009596,-0.44065672,0.57480034,-0.44947175,0.57688905,-0.45652681,0.57701908,-0.46261759,0.57573258,-0.46813150,0.57336758,-0.47310919,0.57004731,-0.44861351,0.47765706,-0.08980966,0.38940253,0.17153767,0.39126901,0.31593540,0.40541183,0.40483471,0.41656301,0.46780588,0.42372417,0.51782211,0.42752977,0.56089040,0.42848694,0.59989148,0.42682360,0.63612465,0.42254387,0.66995779,0.41549474,0.70110206,0.40543069,0.72871789,0.39209291,0.75144667,0.37532770,0.76742574,0.35527401
1.947787,0.620000,-0.46237571,0.37931034,-0.19818594,0.65674689,-0.20946820,0.62891642,-0.23867096,0.59440550,-0.27897181,0.56734367,-0.32108547,0.55591465,-0.35801301,0.55757930,-0.38698684,0.56505758,-0.40840573,0.57274328,-0.42401503,0.57818284,-0.43569703,0.58096373,-0.44496758,0.58150087,-0.45286913,0.58036433,-0.46001101,0.57800944,-0.46663415,0.57469855,-0.47265265,0.57048929,-0.46708783,0.49213113,-0.17830557,0.39688935,0.09013455,0.38386249,0.25824806,0.39284795,0.36659880,0.40276048,0.44382005,0.40979745,0.50439986,0.41369197,0.55556251,0.41466552,0.60095483,0.41285340,0.64233001,0.40822901,0.68031160,0.40062896,0.71473816,0.38980550,0.74481043,0.37550515,0.76914892,0.35759299,0.78582854,0.33625247
2.010619,0.640000,-0.48514060,0.34482759,-0.22269637,0.65316531,-0.23268958,0.63013037,-0.25730508,0.60218737,-0.29104292,0.58049485,-0.32652234,0.57122334,-0.35812880,0.57217337,-0.38356421,0.57751824,-0.40307149,0.58278760,-0.41801293,0.58604401,-0.42988767,0.58700510,-0.43990314,0.58605600,-0.44887027,0.58369124,-0.45722392,0.58028762,-0.46506530,0.57603729,-0.47218463,0.57093578,-0.47731644,0.50298062,-0.24698606,0.40719588,0.01451984,0.38099604,0.19936073,0.38318871,0.32532044,0.39057309,0.41673863,0.39672632,0.48833511,0.40026610,0.54813058,0.40098456,0.60040660,0.39884781,0.64733326,0.39375879,0.68978246,0.38552317,0.72772111,0.37388100,0.76039265,0.35858048,0.78639914,0.33950643,0.80375640,0.31689147
2.073451,0.660000,-0.50969887,0.27586207,-0.24117477,0.65051071,-0.24976859,0.63189304,-0.27020730,0.60985253,-0.29819292,0.59293281,-0.32799632,0.58558987,-0.35518209,0.58592357,-0.37783393,0.58936026,-0.39603161,0.59243001,-0.41077724,0.59366728,-0.42321357,0.59291970,-0.43426137,0.59055445,-0.44451550,0.58700225,-0.45424606,0.58257020,-0.46341968,0.57738623,-0.47170385,0.57138775,-0.48317293,0.51134555,-0.29977306,0.41841699,-0.05369344,0.38173894,0.14099407,0.37637489,0.28195835,0.38014248,0.38700379,0.38465413,0.46979960,0.38736002,0.53863865,0.38751775,0.59823716,0.38485437,0.65110742,0.37916233,0.69834246,0.37019456,0.74002778,0.35766792,0.77544618,0.34132839,0.80318086,0.32108157,0.82119100,0.29721438
2.136283,0.680000,-0.53636942,0.13793103,-0.25380543,0.64903226,-0.26092788,0.63438969,-0.27760930,0.61750631,-0.30062706,0.60470040,-0.32566284,0.59901621,-0.34927268,0.59880997,-0.36984718,0.60055857,-0.38730159,0.60165032,-0.40230136,0.60104031,-0.41565739,0.59870220,-0.42802245,0.59499574,-0.43978771,0.59029953,-0.45106569,0.58486020,-0.46169134,0.57874790,-0.47120894,0.57184619,-0.48657175,0.51796553,-0.34032087,0.42952103,-0.11400244,0.38515654,0.08446512,0.37220953,0.23740251,0.37154383,0.35507003,0.37370263,0.44898361,0.37507802,0.52714120,0.37434104,0.59443997,0.37092409,0.65362443,0.36447191,0.70596077,0.35466284,0.75163157,0.34117927,0.78994918,0.32376082,0.81947421,0.30233519,0.83811052,0.27724930
2.199115,0.700000,-0.56526245,0.03448276,-0.26087381,0.64884035,-0.26649251,0.63768883,-0.27983160,0.62518586,-0.29861716,0.61581743,-0.31972129,0.61150470,-0.34052623,0.61081856,-0.35966832,0.61109220,-0.37690188,0.61042965,-0.39257881,0.60815054,-0.40719957,0.60434658,-0.42116369,0.59937881,-0.43466734,0.59358500,-0.44766943,0.58716062,-0.45987360,0.58012486,-0.47069837,0.57231216,-0.48852351,0.52332571,-0.37159962,0.44001140,-0.16660821,0.39042904,0.03070180,0.37040409,0.19244462,0.36478890,0.32138991,0.36396881,0.42609190,0.36351889,0.51370258,0.36153218,0.58901179,0.35711170,0.65485516,0.34972347,0.71260343,0.33895092,0.76250216,0.32443089,0.80387602,0.30589282,0.83525551,0.28328820,0.85448923,0.25703028
2.261947,0.720000,-0.59630059,0.00000000,-0.26274264,0.64992275,-0.26686356,0.64175907,-0.27726032,0.63287059,-0.29248533,0.62628359,-0.31040605,0.62305751,-0.32909053,0.62194048,-0.34737387,0.62094386,-0.36485795,0.61875036,-0.38160350,0.61498508,-0.39781843,0.60984603,-0.41365943,0.60370199,-0.42913210,0.59686026,-0.44404205,0.58947445,-0.45795891,0.58151980,-0.47017048,0.57278677,-0.48959175,0.52775226,-0.39588678,0.44968980,-0.21209829,0.39689714,-0.01970754,0.37062304,0.14776138,0.35983322,0.28640171,0.35552297,0.40133957,0.35277413,0.49839645,0.34917012,0.58195286,0.34347580,0.65476955,0.33495708,0.71823329,0.32308538,0.77260517,0.30744214,0.81719687,0.28774334,0.85049686,0.26396664,0.87029710,0.23659867
2.324779,0.740000,-0.62925069,0.00000000,-0.25982845,0.65216826,-0.26249265,0.64649164,-0.27032464,0.64049575,-0.28258805,0.63608261,-0.29797742,0.63367652,-0.31513155,0.63217134,-0.33305150,0.63009977,-0.35120042,0.62659594,-0.36936997,0.62153066,-0.38749023,0.61519289,-0.40548090,0.60796286,-0.42315679,0.60012655,-0.44016630,0.59180461,-0.45593879,0.58293553,-0.46962344,0.57327123,-0.49010523,0.53147045,-0.41488541,0.45851356,-0.25123051,0.40406196,-0.06644930,0.37252057,0.10390911,0.35658635,0.25051951,0.34840804,0.37494803,0.34292623,0.48130506,0.33733433,0.57326712,0.33007906,0.65333671,0.32021751,0.72280980,0.30709728,0.78190187,0.29023669,0.82987731,0.26933622,0.86516572,0.24440300,0.88549933,0.21600492
2.387610,0.760000,-0.66376003,0.00000000,-0.25257988,0.65539406,-0.25385900,0.65172473,-0.25947665,0.64796689,-0.26930143,0.64518717,-0.28271293,0.64336358,-0.29882941,0.64151057,-0.31679885,0.63854923,-0.33596514,0.63395095,-0.35587379,0.62777358,-0.37618930,0.62037851,-0.39659606,0.61215823,-0.41671300,0.60338474,-0.43602265,0.59415402,-0.45380364,0.58437497,-0.46905519,0.57376681,-0.49026309,0.53463995,-0.42985784,0.46651575,-0.28480034,0.41156305,-0.10941841,0.37576675,0.06132676,0.35492351,0.21412580,0.34264017,0.34714124,0.33404713,0.46251856,0.32610401,0.56296245,0.31698826,0.65052511,0.30555484,0.72628897,0.29102291,0.79034886,0.27284348,0.84187791,0.25070134,0.87922444,0.22463772,0.90005588,0.19531067
2.450442,0.780000,-0.69939152,0.00000000,-0.24145894,0.65937266,-0.24144975,0.65726651,-0.24517392,0.65517340,-0.25300831,0.65356379,-0.26489926,0.65212099,-0.28037446,0.64996098,-0.29872235,0.64628441,-0.31919333,0.64080093,-0.34111191,0.63369964,-0.36388825,0.62539323,-0.38696951,0.61628399,-0.40976884,0.60663523,-0.43158901,0.59652554,-0.45154262,0.58584122,-0.46846347,0.57427490,-0.49018970,0.53737664,-0.44173962,0.47376230,-0.31356762,0.41914985,-0.14865885,0.38006358,0.02034510,0.35469722,0.17756644,0.33821038,0.31814227,0.32619694,0.44213420,0.31555722,0.55105096,0.30427438,0.64630285,0.29102509,0.72862326,0.27490477,0.79789772,0.25529783,0.85315374,0.23187602,0.89262967,0.20472106,0.91392094,0.17459140
2.513274,0.800000,-0.73565378,0.00000000,-0.22692541,0.66385605,-0.22574422,0.66291483,-0.22786559,0.66200011,-0.23408746,0.66117720,-0.24482521,0.65995206,-0.25996360,0.65752821,-0.27893596,0.65330004,-0.30093161,0.64713236,-0.32508310,0.63929410,-0.35055810,0.63022618,-0.37656233,0.62033500,-0.40228856,0.60987789,-0.42684040,0.59892198,-0.44914345,0.58733755,-0.46784573,0.57479700,-0.48996478,0.53976642,-0.45122720,0.48032993,-0.33822126,0.42665459,-0.18431452,0.38515265,-0.01880075,0.35574803,0.14114792,0.33508723,0.28817015,0.31942288,0.42025557,0.30576987,0.53754924,0.29201253,0.64063793,0.27669086,0.72976155,0.25879259,0.80449468,0.23764277,0.86365386,0.21290671,0.90533186,0.18471549,0.92704234,0.15393971
2.576106,0.820000,-0.77202335,0.00000000,-0.20942475,0.66859531,-0.20720187,0.66847260,-0.20798159,0.66833631,-0.21290495,0.66799394,-0.22277557,0.66686163,-0.23779684,0.66422039,-0.25755995,0.65959309,-0.28123216,0.65293255,-0.30778842,0.64454161,-0.33616866,0.63486527,-0.36533196,0.62430499,-0.39423221,0.61311197,-0.42174856,0.60134607,-0.44659221,0.58886743,-0.46719912,0.57533477,-0.48964049,0.54187423,-0.45884270,0.48629512,-0.35936672,0.43396973,-0.21659093,0.39081690,-0.05595709,0.35791341,0.10513651,0.33322002,0.25743731,0.31375863,0.39699180,0.29681461,0.52247871,0.28028176,0.63349862,0.26262208,0.72964915,0.24274458,0.81008029,0.21993070,0.87332076,0.19385111,0.91727456,0.16469849,0.93936096,0.13346950
2.638938,0.840000,-0.80795787,0.06896552,-0.18937912,0.67335504,-0.18625380,0.67375859,-0.18592515,0.67408205,-0.18980774,0.67398506,-0.19902625,0.67285654,-0.21407417,0.67004781,-0.23471965,0.66516258,-0.26015273,0.65818964,-0.28923183,0.64942626,-0.32068879,0.63929701,-0.35323207,0.62818636,-0.38555517,0.61633600,-0.41628145,0.60380043,-0.44387302,0.59043456,-0.46652041,0.57589001,-0.48925154,0.54374998,-0.46498077,0.49172913,-0.37752596,0.44103024,-0.24572688,0.39687859,-0.09103744,0.36103474,0.06975888,0.33254255,0.22614736,0.30922402,0.37245671,0.28875963,0.50586588,0.26916468,0.62485389,0.24889663,0.72822785,0.22682885,0.81458908,0.20222525,0.88208984,0.17478073,0.92839378,0.14476623,0.95081001,0.11332132
2.701770,0.860000,-0.84289972,0.06896552,-0.16718139,0.67792307,-0.16329730,0.67861405,-0.16206780,0.67915208,-0.16511920,0.67912793,-0.17384038,0.67794600,-0.18899295,0.67502262,-0.21054429,0.67000930,-0.23775677,0.66289253,-0.26942075,0.65393145,-0.30408685,0.64350642,-0.34021251,0.63197007,-0.37620770,0.61954764,-0.41040277,0.60628754,-0.44096777,0.59204290,-0.46580594,0.57646471,-0.48882135,0.54543262,-0.46994237,0.49669609,-0.39314353,0.44780064,-0.27197437,0.40319528,-0.12400907,0.36496235,0.03520395,0.33297690,0.19449331,0.30582512,0.34676803,0.28166745,0.48774271,0.25874694,0.61467391,0.23560104,0.72543604,0.21112501,0.81794922,0.18460371,0.88988873,0.15578409,0.93861727,0.12503819,0.96131442,0.09366950
2.764602,0.880000,-0.87627001,0.06896552,-0.14319148,0.68211580,-0.13869295,0.68290606,-0.13674681,0.68347769,-0.13913634,0.68340717,-0.14746555,0.68214173,-0.16274557,0.67915860,-0.18516582,0.67413558,-0.21411344,0.66703081,-0.24836672,0.65803999,-0.28633128,0.64747696,-0.32621927,0.63564538,-0.36613438,0.62274353,-0.40407130,0.60880967,-0.43785570,0.59369671,-0.46505156,0.57706110,-0.48836585,0.54695298,-0.47395904,0.50125259,-0.40659536,0.45426539,-0.29558498,0.40965491,-0.15488095,0.36955863,0.00162554,0.33443713,0.16265637,0.30355469,0.32004657,0.27559360,0.46814692,0.24911639,0.60293068,0.22283097,0.72120894,0.19572596,0.82008228,0.16715980,0.89663674,0.13697087,0.94786375,0.10566322,0.97079004,0.07473171
2.827433,0.900000,-0.90745210,0.06896552,-0.11773472,0.68578036,-0.11276366,0.68652815,-0.11026432,0.68700705,-0.11212844,0.68681504,-0.12013188,0.68545803,-0.13551762,0.68247093,-0.15871785,0.67754514,-0.18929761,0.67059477,-0.22608617,0.66173401,-0.26739119,0.65119034,-0.31119448,0.63919970,-0.35527358,0.62591909,-0.39724015,0.61136881,-0.43451296,0.59540054,-0.46425250,0.57768163,-0.48789597,0.54833579,-0.47721048,0.50544810,-0.41819808,0.46042227,-0.31680117,0.41617089,-0.18369341,0.37469985,-0.03085444,0.33683269,0.13080495,0.30239306,0.29241548,0.27058543,0.44712232,0.24036200,0.58959865,0.21069159,0.71547892,0.18073988,0.82090300,0.15000728,0.90224418,0.11847707,0.95604209,0.08682756,0.97914290,0.05678249
2.890265,0.920000,-0.93576215,0.06896552,-0.09110174,0.68879423,-0.08579525,0.68939920,-0.08288782,0.68970442,-0.08433684,0.68935112,-0.09205091,0.68791173,-0.10748640,0.68497598,-0.13133462,0.68024288,-0.16338990,0.67357535,-0.20260118,0.66499503,-0.24723722,0.65462648,-0.29507660,0.64261831,-0.34355679,0.62906831,-0.38985588,0.61396659,-0.43091201,0.59715932,-0.46340329,0.57832908,-0.48741920,0.54960108,-0.47983731,0.50932556,-0.42821781,0.46627757,-0.33585103,0.42267750,-0.21050942,0.38027667,-0.06214257,0.34007146,0.09909422,0.30230930,0.26399948,0.26668098,0.42471916,0.23257238,0.57465555,0.19929760,0.70817594,0.16629243,0.82031911,0.13328419,0.90661181,0.10047201,0.96305054,0.06876596,0.98626850,0.04017334
2.953097,0.940000,-0.96039981,0.06896552,-0.06354945,0.69106334,-0.05803804,0.69146122,-0.05485164,0.69154862,-0.05597555,0.69102181,-0.06341521,0.68952193,-0.07881986,0.68669115,-0.10315009,0.68223474,-0.13647662,0.67596411,-0.17794033,0.66780396,-0.22584246,0.65776336,-0.27780060,0.64588410,-0.33090799,0.63218342,-0.38185750,0.61660410,-0.42702096,0.59897833,-0.46249757,0.57900656,-0.48694063,0.55076525,-0.48195048,0.51292225,-0.43687821,0.47184295,-0.35294556,0.42912580,-0.23540750,0.38619398,-0.09217039,0.34406216,0.06766588,0.30326264,0.23492415,0.26390799,0.40099438,0.22583408,0.55808325,0.18877284,0.69922814,0.15252890,0.81823131,0.11715825,0.90963021,0.08316760,0.96877592,0.05177776,0.99205105,0.02536492
3.015929,0.960000,-0.98036000,0.03448276,-0.03530278,0.69251912,-0.02970916,0.69267641,-0.02635903,0.69253120,-0.02723254,0.69183948,-0.03439851,0.69030981,-0.04967581,0.68763467,-0.07429711,0.68352754,-0.10864969,0.67775327,-0.15213962,0.67014116,-0.20318362,0.66057696,-0.25929842,0.64897728,-0.31724298,0.63525459,-0.37317522,0.61928176,-0.42280267,0.60086328,-0.46152798,0.57971762,-0.48646376,0.55184186,-0.48363817,0.51627045,-0.44436732,0.47713309,-0.36827752,0.43548022,-0.25847606,0.39237011,-0.12089094,0.34871639,0.03664823,0.30520402,0.20531524,0.26228323,0.37601194,0.22022944,0.53986872,0.17924918,0.68856260,0.13961626,0.81453336,0.10183343,0.91117932,0.06683147,0.97309281,0.03625170,0.99636282,0.01298534
