initial_state_type,n_samples,S_final_mean,S_final_std,S_final_min,S_final_max,strength_mean,strength_min,mono_mean,frac_arrow_above_0.5
product,100,0.489437,0.175253,0.009756,0.691471,0.7061,0.0141,1.0000,0.8100
entangled,100,0.648083,0.034297,0.493800,0.690157,0.9350,0.7124,0.5021,1.0000
